fabricante;nome;vazao;intervalo_trabalho
SUPER SPRAY;8.50;0.398623;0.418067
SUPER SPRAY;9.00;0.437569;0.462737
SUPER SPRAY;9.50;0.487970;0.514279
SUPER SPRAY;10.00;0.540662;0.561240
SUPER SPRAY;10.50;0.581899;0.611637
SUPER SPRAY;11.00;0.641463;0.666616
SUPER SPRAY;11.50;0.691864;0.726176
SUPER SPRAY;12.00;0.760592;0.799481
SUPER SPRAY;12.50;0.838484;0.872786
SUPER SPRAY;13.00;0.907212;0.942654
SUPER SPRAY;13.50;0.978231;1.015959
SUPER SPRAY;14.00;1.053832;1.092700
SUPER SPRAY;14.50;1.131724;1.170587
SUPER SPRAY;15.00;1.209616;1.251909
SUPER SPRAY;15.50;1.294381;1.337813
SUPER SPRAY;16.00;1.381436;1.421427
SUPER SPRAY;16.50;1.461619;1.503895
SUPER SPRAY;17.00;1.546384;1.587508
SUPER SPRAY;17.50;1.628858;1.672267
SUPER SPRAY;18.00;1.715913;1.757025
SUPER SPRAY;18.50;1.798387;1.841784
SUPER SPRAY;19.00;1.885443;1.925397
SUPER SPRAY;19.50;1.965626;2.007865
SUPER SPRAY;20.00;2.050391;2.094915
SUPER SPRAY;20.50;2.139737;2.178528
SUPER SPRAY;21.00;2.217629;2.259851
SUPER SPRAY;21.50;2.302394;2.344609
SUPER SPRAY;22.00;2.387159;2.433950
SUPER SPRAY;22.50;2.481087;2.530162
SUPER SPRAY;23.00;2.579597;2.625230
SUPER SPRAY;23.50;2.671235;2.716861
SUPER SPRAY;24.00;2.762873;2.810782
SUPER SPRAY;24.50;2.859092;2.910431
SUPER SPRAY;25.00;2.962184;3.015807
SUPER SPRAY;25.50;3.069858;3.121183
SUPER SPRAY;26.00;3.172951;3.215104
I-WOB UP3;0.00;0.000000;0.000000
I-WOB UP3;4.00;0.079000;0.090494
I-WOB UP3;4.50;0.102000;0.113492
I-WOB UP3;5.00;0.125000;0.138490
I-WOB UP3;5.50;0.152000;0.166838
I-WOB UP3;6.00;0.181700;0.197584
I-WOB UP3;6.50;0.213497;0.230515
I-WOB UP3;7.00;0.247566;0.266853
I-WOB UP3;7.50;0.286177;0.305461
I-WOB UP3;8.00;0.324788;0.346341
I-WOB UP3;8.50;0.367942;0.389491
I-WOB UP3;9.00;0.411096;0.434913
I-WOB UP3;9.50;0.458792;0.483741
I-WOB UP3;10.00;0.508759;0.534841
I-WOB UP3;10.50;0.560998;0.589347
I-WOB UP3;11.00;0.617779;0.646124
I-WOB UP3;11.50;0.674560;0.705172
I-WOB UP3;12.00;0.735884;0.767627
I-WOB UP3;12.50;0.799479;0.832353
I-WOB UP3;13.00;0.865345;0.899350
I-WOB UP3;13.50;0.933483;0.968618
I-WOB UP3;14.00;1.003891;1.040157
I-WOB UP3;14.50;1.076571;1.115103
I-WOB UP3;15.00;1.153794;1.192320
I-WOB UP3;15.50;1.231016;1.271808
I-WOB UP3;16.00;1.312781;1.354703
I-WOB UP3;16.50;1.396817;1.439868
I-WOB UP3;17.00;1.483124;1.527305
I-WOB UP3;17.50;1.571703;1.617013
I-WOB UP3;18.00;1.662553;1.708992
I-WOB UP3;18.50;1.755674;1.803242
I-WOB UP3;19.00;1.851066;1.899763
I-WOB UP3;19.50;1.948730;1.998555
I-WOB UP3;20.00;2.048665;2.099619
I-WOB UP3;20.50;2.150871;2.202953
I-WOB UP3;21.00;2.255348;2.308559
I-WOB UP3;21.50;2.362097;2.416435
I-WOB UP3;22.00;2.471117;2.526583
I-WOB UP3;22.50;2.582408;2.639002
I-WOB UP3;23.00;2.695970;2.752556
I-WOB UP3;23.50;2.809533;2.867246
I-WOB UP3;24.00;2.925366;2.984207
I-WOB UP3;24.50;3.043471;3.102303
I-WOB UP3;25.00;3.161576;3.221535
I-WOB UP3;25.50;3.281952;3.341903
I-WOB UP3;26.00;3.402328;3.456592
I-WOB;0.00;0.000000;0.000000
I-WOB;4.00;0.079000;0.090494
I-WOB;4.50;0.102000;0.113492
I-WOB;5.00;0.125000;0.138490
I-WOB;5.50;0.152000;0.240648
I-WOB;6.00;0.329331;0.350315
I-WOB;6.50;0.371349;0.392330
I-WOB;7.00;0.413367;0.437752
I-WOB;7.50;0.462199;0.486580
I-WOB;8.00;0.511031;0.533705
I-WOB;8.50;0.556456;0.579127
I-WOB;9.00;0.601880;0.630794
I-WOB;9.50;0.659797;0.688707
I-WOB;10.00;0.717714;0.752297
I-WOB;10.50;0.786987;0.821565
I-WOB;11.00;0.856260;0.891401
I-WOB;11.50;0.926669;0.961805
I-WOB;12.00;0.997077;1.034479
I-WOB;12.50;1.072029;1.109425
I-WOB;13.00;1.146980;1.188913
I-WOB;13.50;1.231016;1.272943
I-WOB;14.00;1.315052;1.355270
I-WOB;14.50;1.395681;1.435894
I-WOB;15.00;1.476311;1.518788
I-WOB;15.50;1.561482;1.603954
I-WOB;16.00;1.646654;1.688552
I-WOB;16.50;1.730690;1.772582
I-WOB;17.00;1.814726;1.857748
I-WOB;17.50;1.901034;1.944049
I-WOB;18.00;1.987341;2.030918
I-WOB;18.50;2.074784;2.118355
I-WOB;19.00;2.162227;2.205792
I-WOB;19.50;2.249670;2.293229
I-WOB;20.00;2.337113;2.387479
I-WOB;20.50;2.438184;2.488542
I-WOB;21.00;2.539254;2.589037
I-WOB;21.50;2.639189;2.688965
I-WOB;22.00;2.739124;2.820688
I-WOB;22.50;2.902654;2.984206
I-WOB;23.00;3.066184;3.122743
I-WOB;23.50;3.179746;3.236297
I-WOB;24.00;3.293308;3.335089
I-WOB;24.50;3.377344;3.419119
I-WOB;25.00;3.461381;3.503149
I-WOB;25.50;3.545417;3.587180
I-WOB;26.00;3.629453;3.672345
FAN SPRAY;0.00;0.000000;0.000000
FAN SPRAY;4.00;0.077222;0.085166
