fabricante;nome;vazao;intervalo_trabalho
SUPER SPRAY;22.5/22.5;4.962174151;5.011072898
SUPER SPRAY;22.5/23.0;5.060684534;5.109576274
SUPER SPRAY;23.0/23.0;5.159194916;5.204643486
SUPER SPRAY;23.0/23.5;5.250832481;5.296274533
SUPER SPRAY;23.5/23.5;5.342470046;5.38790558
SUPER SPRAY;23.5/24.0;5.434107612;5.479536627
SUPER SPRAY;24.0/24.0;5.525745177;5.573458451
SUPER SPRAY;24.0/24.5;5.62196462;5.66967105
SUPER SPRAY;24.5/24.5;5.718184063;5.769319814
SUPER SPRAY;24.5/25.0;5.821276324;5.872404743
SUPER SPRAY;25.0/25.0;5.924368585;5.977780447
SUPER SPRAY;25.0/25.5;6.032042724;6.085446928
SUPER SPRAY;25.5/25.5;6.139716863;6.190822632
SUPER SPRAY;25.5/26.0;6.242809124;6.29390756
SUPER SPRAY;26.0/26.0;6.345901385;6.345450024
I-WOB UP3;18.5/18.5;3.511348171;3.558791221
I-WOB UP3;18.5/19.0;3.606740554;3.654176818
I-WOB UP3;19.0/19.0;3.702132936;3.750697959
I-WOB UP3;19.0/19.5;3.799796566;3.848354642
I-WOB UP3;19.5/19.5;3.897460195;3.947146868
I-WOB UP3;19.5/20.0;3.997395072;4.047074637
I-WOB UP3;20.0/20.0;4.097329949;4.148137948
I-WOB UP3;20.0/20.5;4.199536073;4.250336803
I-WOB UP3;20.5/20.5;4.301742197;4.3536712
I-WOB UP3;20.5/21.0;4.406219568;4.45814114
I-WOB UP3;21.0/21.0;4.510696939;4.563746623
I-WOB UP3;21.0/21.5;4.617445558;4.670487649
I-WOB UP3;21.5/21.5;4.724194176;4.778364217
I-WOB UP3;21.5/22.0;4.833214042;4.887376329
I-WOB UP3;22.0/22.0;4.942233907;4.997523983
I-WOB UP3;22.0/22.5;5.05352502;5.10880718
I-WOB UP3;22.5/22.5;5.164816133;5.22122592
I-WOB UP3;22.5/23.0;5.278378493;5.334780203
I-WOB UP3;23.0/23.0;5.391940853;5.448334485
I-WOB UP3;23.0/23.5;5.505503213;5.561888768
I-WOB UP3;23.5/23.5;5.619065573;5.676578594
I-WOB UP3;23.5/24.0;5.73489918;5.792403962
I-WOB UP3;24.0/24.0;5.850732787;5.909364873
I-WOB UP3;24.0/24.5;5.968837642;6.027461327
I-WOB UP3;24.5/24.5;6.086942496;6.145557781
I-WOB UP3;24.5/25.0;6.20504735;6.263654235
I-WOB UP3;25.0/25.0;6.323152205;6.382886232
I-WOB UP3;25.0/25.5;6.443528306;6.503253772
I-WOB UP3;25.5/25.5;6.563904408;6.623621312
I-WOB UP3;25.5/26.0;6.68428051;6.743988851
I-WOB UP3;26.0/26.0;6.804656611;6.804172621
I-WOB;18.0/18.5;3.715760207;3.758646544
I-WOB;18.5/18.5;3.802067596;3.844947794
I-WOB;18.5/19.0;3.888374985;3.931249044
